,RecordID,ZipCode,City,County,State,Latitude,Longitude,TotalPopulation,MedianHomeValue,AverageMedianHomeValue,Total,Region,Coordinates,DominantDemographic,DominantDemographicPercentage
31,32,92627,COSTA MESA,ORANGE,CA,33.6472,-117.9187,62575,1268000.0,1098333.3333333333,1098333.3333333333,Central,"(33.6472, -117.9187)",Hispanic,52.6
32,33,92629,DANA POINT,ORANGE,CA,33.4747,-117.7017,26929,1604500.0,1619750.0,1619750.0,Southern,"(33.4747, -117.7017)",White,81.5
33,34,92629,MONARCH BAY,ORANGE,CA,33.4747,-117.7017,26929,1604500.0,1619750.0,1619750.0,Southern,"(33.4747, -117.7017)",White,81.5
34,35,92629,MONARCH BEACH,ORANGE,CA,33.4747,-117.7017,26929,1604500.0,1619750.0,1619750.0,Southern,"(33.4747, -117.7017)",White,81.5
35,36,92630,EL TORO,ORANGE,CA,33.6414,-117.6889,66621,1076000.0,1383111.111111111,1383111.111111111,Southern,"(33.6414, -117.6889)",White,43.0
36,37,92630,LAKE FOREST,ORANGE,CA,33.6414,-117.6889,66621,1076000.0,1383111.111111111,1383111.111111111,Southern,"(33.6414, -117.6889)",White,43.0
37,38,92637,LAGUNA HILLS,ORANGE,CA,33.608,-117.723,17546,471000.0,3741000.0,3741000.0,Southern,"(33.608, -117.723)",White,82.9
38,39,92637,LAGUNA WOODS,ORANGE,CA,33.608,-117.723,17546,471000.0,3741000.0,3741000.0,Southern,"(33.608, -117.723)",White,82.9
39,40,92646,HUNTINGTON,ORANGE,CA,33.6692,-117.9702,55939,1281000.0,1281000.0,1281000.0,West,"(33.6692, -117.9702)",White,70.8
40,41,92646,HUNTINGTON BEACH,ORANGE,CA,33.6692,-117.9702,55939,1281000.0,1281000.0,1281000.0,West,"(33.6692, -117.9702)",White,70.8
41,42,92647,HUNTINGTON BEACH,ORANGE,CA,33.7209,-118.0015,60592,1122000.0,2239000.0,2239000.0,West,"(33.7209, -118.0015)",White,85.7
42,43,92648,BEACH CENTER,ORANGE,CA,33.675,-117.9994,45612,1480000.0,1480000.0,1480000.0,West,"(33.675, -117.9994)",White,71.2
43,44,92648,HUNTINGTON BEACH,ORANGE,CA,33.675,-117.9994,45612,1480000.0,1480000.0,1480000.0,West,"(33.675, -117.9994)",White,71.2
44,45,92649,HUNTINGTON BEACH,ORANGE,CA,33.7213,-118.0434,36130,1208000.0,2239000.0,2239000.0,West,"(33.7213, -118.0434)",White,85.7
45,46,92651,LAGUNA BEACH,ORANGE,CA,33.5353,-117.7703,24042,2965000.0,1581000.0,1581000.0,Southern,"(33.5353, -117.7703)",White,70.1
46,47,92653,ALISO VIEJO,ORANGE,CA,33.6003,-117.7051,30183,1116000.0,3741000.0,3741000.0,Southern,"(33.6003, -117.7051)",White,82.9
47,48,92653,LAGUNA BEACH,ORANGE,CA,33.6003,-117.7051,30183,1116000.0,3741000.0,3741000.0,Southern,"(33.6003, -117.7051)",White,82.9
48,49,92653,LAGUNA HILLS,ORANGE,CA,33.6003,-117.7051,30183,1116000.0,3741000.0,3741000.0,Southern,"(33.6003, -117.7051)",White,82.9
49,50,92653,LAGUNA WOODS,ORANGE,CA,33.6003,-117.7051,30183,1116000.0,3741000.0,3741000.0,Southern,"(33.6003, -117.7051)",White,82.9
50,51,92655,MIDWAY CITY,ORANGE,CA,33.7456,-117.9859,8440,934000.0,2239000.0,2239000.0,West,"(33.7456, -117.9859)",White,85.7
51,52,92656,ALISO VIEJO,ORANGE,CA,33.579,-117.7258,53169,872000.0,1581000.0,1581000.0,Southern,"(33.579, -117.7258)",White,70.1
52,53,92656,LAGUNA BEACH,ORANGE,CA,33.579,-117.7258,53169,872000.0,1581000.0,1581000.0,Southern,"(33.579, -117.7258)",White,70.1
53,54,92656,LAGUNA HILLS,ORANGE,CA,33.579,-117.7258,53169,872000.0,1581000.0,1581000.0,Southern,"(33.579, -117.7258)",White,70.1
54,55,92657,NEWPORT BEACH,ORANGE,CA,33.6021,-117.8308,9342,4615000.0,3741000.0,3741000.0,Central,"(33.6021, -117.8308)",White,82.9
